data trim:
time,signal
67,187.899
67.01,198.866
67.02,318.853
67.03,366.105
67.04,178.401
67.05,215.604
67.06,310.672
67.07,230.832
67.08,201.229
67.09,204.245
67.1,131.093
67.11,71.2643
67.12,141.764
67.13,162.714
67.14,111.426
67.15,88.5612
67.16,52.8237
67.17,102.619
67.18,142.994
67.19,142.921
67.2,155.095
67.21,181.42
67.22,141.823
67.23,190.084
67.24,127.698
67.25,1092.21
67.26,405.418
67.27,740.774
67.28,198.742
67.29,259.707
67.3,93.9016
67.31,51.9516
67.32,83.5592
67.33,60.063
67.34,116.463
67.35,128.269
67.36,81.0389
67.37,17.0187
67.38,67.1589
67.39,114
67.4,167.236
67.41,319.719
67.42,193.358
67.43,86.9258
67.44,209.29
67.45,225.507
67.46,165.956
67.47,138.228
67.48,144.551
67.49,105
67.5,92.0824
67.51,120.812
67.52,113.456
67.53,76.6997
67.54,69.9652
67.55,70.4246
67.56,159.382
67.57,177.934
67.58,93.9576
67.59,126.485
67.6,214.798
67.61,985.481
67.62,331.481
67.63,580.003
67.64,243.236
67.65,278.579
67.66,104.775
67.67,45.1902
67.68,45.3572
67.69,92.5243
67.7,89.527
67.71,105.286
67.72,109.5
67.73,151.912
67.74,127.96
67.75,52.5411
67.76,327.503
67.77,311.809
67.78,233.25
67.79,49.1346
67.8,188.022
67.81,191.123
67.82,203.745
67.83,254.457
67.84,214.894
67.85,135.215
67.86,97.8872
67.87,123.155
67.88,118.689
67.89,77.2634
67.9,63.416
67.91,120.553
67.92,170.246
67.93,165.729
67.94,142.213
67.95,144.326
67.96,131.46
67.97,813.92
67.98,248.849
67.99,509.002
68,185.355
68.01,164.702
68.02,57.053
68.03,73.7508
68.04,71.2266
68.05,99.9408
68.06,103.041
68.07,146.186
68.08,148.929
68.09,110.872
68.1,66.8148
68.11,74.6644
68.12,125.92
68.13,266.964
68.14,186.989
68.15,93.79
68.16,50.6217
68.17,161.739
68.18,259.572
68.19,191.608
68.2,123.36
68.21,132.286
68.22,116.408
68.23,90.1458
68.24,117.123
68.25,97.3488
68.26,72.2114
68.27,30.0594
68.28,73.722
68.29,126.594
68.3,135.044
68.31,124.875
68.32,90.3528
68.33,91.8828
68.34,162.848
68.35,198.428
68.36,236.455
68.37,212.473
68.38,159.323
68.39,44.2213
68.4,107.166
68.41,72.4148
68.42,89.2963
68.43,58.3915
68.44,115.25
68.45,126.339
68.46,99.0792
68.47,97.3657
68.48,47.6603
68.49,76.0352
68.5,167.114
68.51,216.76
68.52,122.479
68.53,205.989
68.54,197.919
68.55,114.162
68.56,90.5108
68.57,104.066
68.58,99.5448
68.59,155.736
68.6,164.792
68.61,97.311
68.62,44.0808
68.63,53.4888
68.64,85.5173
68.65,97.0601
68.66,87.9096
68.67,55.3538
68.68,63.1461
68.69,122.958
68.7,166.775
68.71,264.25
68.72,144.906
68.73,151.183
68.74,263.896
68.75,444.609
68.76,342.419
68.77,476.192
68.78,254.977
68.79,94.495
68.8,187.015
68.81,92.2856
68.82,69.4329
68.83,53.7669
68.84,77.6464
68.85,78.7813
68.86,102.292
68.87,80.4046
68.88,131.982
68.89,168.858
68.9,333.371
68.91,134.223
68.92,86.7668
68.93,201.944
68.94,216.505
68.95,196.571
68.96,110.086
68.97,96.8679
68.98,131.374
68.99,151.02
69,127.013
69.01,66.4368
69.02,19.1453
69.03,27.9042
69.04,36.1085
69.05,45.4479
69.06,48.2408
69.07,67.3734
69.08,86.6666
69.09,128.929
69.1,134.11
69.11,83.6507
69.12,94.1005
69.13,140.383
69.14,1089.25
69.15,350.384
69.16,665.512
69.17,167.615
69.18,213.931
69.19,155.358
69.2,159.2
69.21,92.4779
69.22,41.8499
69.23,116.313
69.24,142.676
69.25,168.672
69.26,138.666
69.27,88.0643
69.28,78.852
69.29,95.9231
69.3,179.907
69.31,166.303
69.32,77.0793
69.33,67.0068
69.34,52.7797
69.35,126.904
69.36,156.658
69.37,89.9981
69.38,32.3842
69.39,67.7257
69.4,102.206
69.41,108.99
69.42,94.7595
69.43,47.2114
69.44,37.3218
69.45,40.8162
69.46,28.8835
69.47,20.3901
69.48,30.0102
69.49,56.3278
69.5,76.1544
69.51,66.9449
69.52,106.777
69.53,132.93
69.54,168.327
69.55,108.718
69.56,19.4293
69.57,191.771
69.58,60.6575
69.59,154.35
69.6,45.0384
69.61,41.8828
69.62,92.9582
69.63,106.707
69.64,126.037
69.65,89.2653
69.66,61.8087
69.67,64.5687
69.68,99.3287
69.69,178.876
69.7,240.356
69.71,245.526
69.72,166.839
69.73,111.248
69.74,119.112
69.75,171.043
69.76,162.125
69.77,125.276
