data trim:
time,signal
69.78,143.569
69.79,140.518
69.8,108.413
69.81,68.7014
69.82,53.1385
69.83,56.3029
69.84,106.037
69.85,131.151
69.86,195.867
69.87,231.446
69.88,141.186
69.89,130.795
69.9,178.471
69.91,839.307
69.92,130.871
69.93,196.308
69.94,416.205
69.95,130.494
69.96,162.11
69.97,58.9935
69.98,53.7865
69.99,50.7184
70,53.0083
70.01,111.75
70.02,94.1112
70.03,115.022
70.04,99.6446
70.05,83.4962
70.06,72.6421
70.07,311.11
70.08,128.591
70.09,110.53
70.1,114.783
70.11,115.383
70.12,136.356
70.13,85.0811
70.14,73.4666
70.15,74.2228
70.16,64.082
70.17,69.2358
70.18,67.8389
70.19,68.6655
70.2,91.4657
70.21,134.087
70.22,145.518
70.23,99.8006
70.24,93.7069
70.25,53.0339
70.26,58.3688
70.27,682.34
70.28,114.326
70.29,430.045
70.3,68.8068
70.31,136.2
70.32,147.845
70.33,233.102
70.34,203.446
70.35,86.5092
70.36,100.217
70.37,129.629
70.38,136.282
70.39,172.377
70.4,252.695
70.41,262.545
70.42,270.961
70.43,207.869
70.44,117.827
70.45,230.037
70.46,214.576
70.47,290.593
70.48,196.411
70.49,130.494
70.5,220.383
70.51,217.561
70.52,121.06
70.53,68.9714
70.54,78.9977
70.55,128.357
70.56,132.189
70.57,100.364
70.58,98.7879
70.59,136.455
70.6,166.408
70.61,160.664
70.62,90.889
70.63,114.736
70.64,1143.81
70.65,374.814
70.66,845.522
70.67,235.508
70.68,210.373
70.69,123.944
70.7,178.695
70.71,219.281
70.72,70.4976
70.73,49.8802
70.74,85.3522
70.75,90.029
70.76,124.132
70.77,129.09
70.78,132.515
70.79,209.832
70.8,276.412
70.81,179.457
70.82,186.627
70.83,224.544
70.84,193.137
70.85,209.277
70.86,169.465
70.87,85.2447
70.88,66.0496
70.89,64.049
70.9,60.4994
70.91,65.4489
70.92,62.2745
70.93,71.4939
70.94,57.8979
70.95,51.1378
70.96,70.1808
70.97,108.586
70.98,154.06
70.99,225.592
71,189.804
71.01,110.747
71.02,144.945
71.03,835.266
71.04,480.135
71.05,312.786
71.06,536.288
71.07,115.064
71.08,243.449
71.09,214.77
71.1,243.984
71.11,145.003
71.12,99.4055
71.13,81.473
71.14,57.3569
71.15,45.6984
71.16,78.4894
71.17,111.254
71.18,196.178
71.19,567.079
71.2,323.582
71.21,170.493
71.22,339.467
71.23,309.421
71.24,208.446
71.25,228.299
71.26,187.386
71.27,92.7743
71.28,72.1349
71.29,105.842
71.3,108.828
71.31,76.6379
71.32,96.3924
71.33,126.487
71.34,131.608
71.35,149.015
71.36,166.037
71.37,153.489
71.38,86.4584
71.39,132.446
71.4,1189.32
71.41,249.328
71.42,434.977
71.43,303.206
71.44,119.821
71.45,216.019
71.46,112.262
71.47,97.963
71.48,58.8508
71.49,40.8212
71.5,44.6773
71.51,74.3765
71.52,153.127
71.53,201.408
71.54,139.802
71.55,72.7532
71.56,151.879
71.57,206.102
71.58,134.473
71.59,236.336
71.6,180.075
71.61,161.319
71.62,176.498
71.63,139.016
71.64,85.4219
71.65,73.389
71.66,84.4475
71.67,53.8247
71.68,40.4321
71.69,24.6196
71.7,30.1959
71.71,24.0667
71.72,29.3552
71.73,22.3003
71.74,16.975
71.75,66.5288
71.76,182.818
71.77,187.629
71.78,132.578
71.79,277.676
71.8,1205.42
71.81,595.231
71.82,482.904
71.83,340.664
71.84,146.814
71.85,92.9656
71.86,27.956
71.87,50.2995
71.88,42.4723
71.89,62.822
71.9,56.3988
71.91,68.0021
71.92,58.7544
71.93,48.3841
71.94,74.1438
71.95,125.714
71.96,164.032
71.97,249.536
71.98,171.379
71.99,83.6201
72,205.809
