data trim:
time,signal
68.88,131.982
68.89,168.858
68.9,333.371
68.91,134.223
68.92,86.7668
68.93,201.944
68.94,216.505
68.95,196.571
68.96,110.086
68.97,96.8679
68.98,131.374
68.99,151.02
69,127.013
69.01,66.4368
69.02,19.1453
69.03,27.9042
69.04,36.1085
69.05,45.4479
69.06,48.2408
69.07,67.3734
69.08,86.6666
69.09,128.929
69.1,134.11
69.11,83.6507
69.12,94.1005
69.13,140.383
69.14,1089.25
69.15,350.384
69.16,665.512
69.17,167.615
69.18,213.931
69.19,155.358
69.2,159.2
69.21,92.4779
69.22,41.8499
69.23,116.313
69.24,142.676
69.25,168.672
69.26,138.666
69.27,88.0643
69.28,78.852
69.29,95.9231
69.3,179.907
69.31,166.303
69.32,77.0793
69.33,67.0068
69.34,52.7797
69.35,126.904
69.36,156.658
69.37,89.9981
69.38,32.3842
69.39,67.7257
69.4,102.206
69.41,108.99
69.42,94.7595
69.43,47.2114
69.44,37.3218
69.45,40.8162
69.46,28.8835
69.47,20.3901
69.48,30.0102
69.49,56.3278
69.5,76.1544
69.51,66.9449
69.52,106.777
69.53,132.93
69.54,168.327
69.55,108.718
69.56,19.4293
69.57,191.771
69.58,60.6575
69.59,154.35
69.6,45.0384
69.61,41.8828
69.62,92.9582
69.63,106.707
69.64,126.037
69.65,89.2653
69.66,61.8087
69.67,64.5687
69.68,99.3287
69.69,178.876
69.7,240.356
69.71,245.526
69.72,166.839
69.73,111.248
69.74,119.112
69.75,171.043
69.76,162.125
69.77,125.276
69.78,143.569
69.79,140.518
69.8,108.413
69.81,68.7014
69.82,53.1385
69.83,56.3029
69.84,106.037
69.85,131.151
69.86,195.867
69.87,231.446
69.88,141.186
69.89,130.795
69.9,178.471
69.91,839.307
69.92,130.871
69.93,196.308
69.94,416.205
69.95,130.494
69.96,162.11
69.97,58.9935
69.98,53.7865
69.99,50.7184
70,53.0083
